index,x,y,z,vx,vy,vz,mass,fx,fy,fz
164,0,7.85723,11.2246,-0.273179,-0.752592,0.126844,1,8.96079e-14,2.28875e-16,-8.45678e-18
165,0,7.85723,12.3471,-0.554005,0.015321,0.22192,1,8.92606e-14,2.7864e-17,-8.18573e-18
166,0,7.85723,13.4695,-0.0294349,0.0385763,0.134346,1,8.86872e-14,-2.39663e-16,2.82543e-16
167,0,7.85723,14.592,1.12762,-0.180796,0.0885148,1,8.92001e-14,1.44578e-16,2.94518e-15
168,0,7.85723,15.7145,0.609976,0.332377,-0.255731,1,9.14118e-14,1.75803e-16,-8.67717e-14
169,0,7.85723,16.8369,0.634795,-0.619094,-0.162547,1,9.1077e-14,-1.9147e-16,1.75397e-13
170,0,7.85723,17.9594,-0.551066,0.406903,0.841425,1,9.01323e-14,-4.53739e-17,5.7029e-17
171,0,7.85723,19.0819,0.153825,0.0518368,-0.622062,1,9.03508e-14,-1.04626e-16,-1.73368e-13
172,0,7.85723,20.2043,-0.502485,-0.847351,-1.54475,1,9.22306e-14,9.26993e-18,1.91431e-15
173,0,7.85723,21.3268,-0.281668,-0.212825,1.53839,1,9.09175e-14,-2.49366e-17,1.73968e-13
174,0,7.85723,22.4492,1.10331,0.392348,1.47575,1,8.95735e-14,-3.32687e-16,-2.99673e-16
175,0,7.85723,23.5717,0.981449,-1.42457,0.754844,1,9.06314e-14,-3.97414e-16,-1.76981e-13
176,0,8.9797,0,0.499825,-0.206639,-1.00498,1,8.75274e-14,-3.20097e-16,8.83155e-14
177,0,8.9797,1.12246,0.417561,-1.47529,-0.0170389,1,8.91999e-14,1.2933e-15,1.39266e-16
178,0,8.9797,2.24492,-0.441907,-0.893839,0.840859,1,8.86159e-14,1.3777e-15,-1.47831e-16
179,0,8.9797,3.36739,-0.0337671,0.1218,0.641724,1,8.86037e-14,1.66533e-15,-1.83555e-16
180,0,8.9797,4.48985,-0.0107169,0.318465,0.576496,1,8.72396e-14,1.58734e-15,-8.35418e-16
181,0,8.9797,5.61231,0.397256,0.2012,1.26213,1,8.73011e-14,8.20863e-16,2.72623e-16
182,0,8.9797,6.73477,0.875879,-0.0623079,-0.646648,1,8.91753e-14,8.29523e-16,2.91108e-17
183,0,8.9797,7.85723,0.448199,0.151497,1.2096,1,8.88326e-14,7.63278e-16,-3.08998e-17
184,0,8.9797,8.9797,0.695493,0.540187,0.00736419,1,8.67955e-14,1.3653e-15,-8.35418e-16
185,0,8.9797,10.1022,-0.62522,-0.14184,0.336181,1,8.77494e-14,7.90126e-16,2.74805e-16
186,0,8.9797,11.2246,-1.23049,0.878667,1.4634,1,8.85338e-14,4.05126e-16,-8.27788e-17
187,0,8.9797,12.3471,-1.38315,-0.994051,0.160979,1,8.83942e-14,9.34257e-16,7.59484e-17
188,0,8.9797,13.4695,-0.417445,0.183427,-0.0526222,1,8.90534e-14,1.67965e-15,7.15573e-17
189,0,8.9797,14.592,-0.730214,0.911765,0.327454,1,8.68565e-14,1.78559e-15,9.75904e-16
190,0,8.9797,15.7145,-0.401256,1.06531,-0.362197,1,8.79367e-14,4.80261e-16,-8.7838e-14
191,0,8.9797,16.8369,-0.884758,0.128566,0.248518,1,8.99669e-14,1.37123e-15,1.75277e-13
192,0,8.9797,17.9594,0.372561,0.49209,0.364036,1,8.89459e-14,1.05515e-15,1.13191e-16
193,0,8.9797,19.0819,0.332565,-0.408217,-0.484358,1,8.73151e-14,1.06835e-16,-1.75261e-13
194,0,8.9797,20.2043,0.521736,0.171058,0.57961,1,8.83808e-14,2.58216e-16,2.02692e-16
195,0,8.9797,21.3268,-1.21468,-0.356495,1.34996,1,9.00775e-14,4.81535e-16,1.73939e-13
196,0,8.9797,22.4492,0.387174,0.207984,0.499992,1,8.89354e-14,1.38344e-16,-2.76905e-16
197,0,8.9797,23.5717,1.56096,1.41479,-1.12145,1,8.92114e-14,1.14003e-15,-1.76821e-13
198,0,10.1022,0,-0.862543,-1.14517,-0.5314,1,8.92926e-14,1.25408e-15,8.75916e-14
199,0,10.1022,1.12246,0.0344435,0.170036,-1.08669,1,9.02246e-14,2.30432e-15,1.59432e-16
200,0,10.1022,2.24492,-1.32815,-0.543633,0.647607,1,9.07035e-14,2.40812e-15,-1.07336e-16
201,0,10.1022,3.36739,0.768412,1.20765,-0.0247336,1,9.02174e-14,1.8735e-15,-2.02421e-16
202,0,10.1022,4.48985,0.582546,0.714344,-0.354012,1,8.80957e-14,1.58734e-15,1.35593e-16
203,0,10.1022,5.61231,0.270436,0.465405,-0.646268,1,8.99729e-14,1.14607e-15,4.22676e-16
204,0,10.1022,6.73477,1.15951,-0.029027,0.059878,1,9.08258e-14,9.78709e-16,-3.79471e-17
205,0,10.1022,7.85723,-0.676004,-0.554007,-1.5588,1,9.10015e-14,1.39472e-15,-2.57932e-16
206,0,10.1022,8.9797,0.0346111,1.77463,-0.723859,1,8.79847e-14,1.3653e-15,-3.08496e-16
207,0,10.1022,10.1022,2.10518,1.00097,-0.337517,1,8.96154e-14,1.4106e-15,4.17621e-16
208,0,10.1022,11.2246,0.0148407,-0.0972803,1.20759,1,9.0761e-14,5.23521e-16,1.57209e-18
209,0,10.1022,12.3471,0.361998,0.836321,0.252072,1,9.14347e-14,9.20379e-16,-1.44633e-16
210,0,10.1022,13.4695,-0.0838569,0.229868,-0.290277,1,9.07062e-14,2.39435e-15,2.49366e-17
211,0,10.1022,14.592,-1.03387,0.575264,-1.06591,1,8.79285e-14,1.11945e-15,1.26907e-15
212,0,10.1022,15.7145,-0.195047,-0.313311,0.454222,1,9.03236e-14,9.27277e-16,-8.77642e-14
213,0,10.1022,16.8369,1.10465,0.852622,0.474829,1,9.1431e-14,1.68782e-15,1.75221e-13
214,0,10.1022,17.9594,-0.450967,-0.131566,-0.23522,1,9.13446e-14,1.17311e-15,2.49366e-17
215,0,10.1022,19.0819,-0.337842,-0.28679,-0.306009,1,8.91731e-14,1.32808e-15,-1.74933e-13
216,0,10.1022,20.2043,-0.340071,0.673222,-0.74939,1,9.05982e-14,7.50796e-16,6.05256e-16
217,0,10.1022,21.3268,-0.52157,-1.1239,1.00154,1,9.21913e-14,-2.19714e-16,1.73933e-13
218,0,10.1022,22.4492,-0.569083,0.466872,0.335111,1,9.10189e-14,3.35506e-16,-3.03793e-16
219,0,10.1022,23.5717,0.930366,-0.150384,-0.673475,1,9.016e-14,1.20542e-15,-1.76872e-13
220,0,11.2246,0,-1.10727,-1.97539,0.112558,1,8.9396e-14,4.40728e-17,8.68351e-14
221,0,11.2246,1.12246,0.545204,0.332839,-1.08618,1,8.88483e-14,-1.43494e-16,3.9427e-16
222,0,11.2246,2.24492,0.731881,-0.496442,-0.64467,1,8.89781e-14,2.80212e-16,-6.34258e-17
223,0,11.2246,3.36739,-0.515302,0.0540647,-1.05424,1,8.86517e-14,2.95391e-16,2.7864e-17
224,0,11.2246,4.48985,-0.0307385,0.302897,0.783104,1,8.90598e-14,-1.10968e-16,2.00167e-15
225,0,11.2246,5.61231,0.12024,-0.951104,0.103724,1,9.05867e-14,6.61905e-17,1.9499e-15
226,0,11.2246,6.73477,-0.756044,-0.793965,-0.967762,1,8.95766e-14,-6.32632e-17,9.96382e-17
227,0,11.2246,7.85723,-1.35927,-0.403546,0.79839,1,8.9755e-14,1.21919e-16,2.7864e-17
228,0,11.2246,8.9797,1.59501,-0.408098,0.768064,1,8.89488e-14,1.11077e-16,2.00167e-15
229,0,11.2246,10.1022,-0.284183,-1.17163,0.495043,1,9.00071e-14,2.04968e-16,2.05908e-15
230,0,11.2246,11.2246,0.161961,1.28718,-1.08967,1,8.90671e-14,-9.70903e-17,-8.13152e-19
231,0,11.2246,12.3471,1.97747,1.12677,-0.0145215,1,8.92982e-14,9.89334e-17,-7.04731e-18
232,0,11.2246,13.4695,-0.216174,-0.508913,0.075967,1,8.9005e-14,2.97993e-16,2.11419e-16
233,0,11.2246,14.592,-0.134868,0.362686,-0.210477,1,8.90047e-14,-1.10534e-16,4.032e-15
234,0,11.2246,15.7145,0.998504,0.0871231,-0.18386,1,9.09374e-14,1.81116e-16,-8.54604e-14
235,0,11.2246,16.8369,0.721574,-1.15163,0.239891,1,9.0182e-14,-7.53521e-18,1.75437e-13
236,0,11.2246,17.9594,0.0136403,-1.00159,-1.21288,1,9.00874e-14,8.15862e-17,1.00397e-16
237,0,11.2246,19.0819,0.711692,0.680954,0.120501,1,8.97418e-14,2.10877e-17,-1.72488e-13
238,0,11.2246,20.2043,1.21236,0.311063,0.884102,1,9.17434e-14,-4.0495e-17,2.67542e-15
239,0,11.2246,21.3268,0.293459,-0.197021,-0.751442,1,9.05367e-14,-1.75803e-16,1.73877e-13
240,0,11.2246,22.4492,-0.432228,-0.183775,0.964447,1,8.94544e-14,1.18449e-16,-3.66243e-16
241,0,11.2246,23.5717,0.541268,0.23263,0.614886,1,8.84077e-14,-1.31731e-17,-1.77896e-13
242,0,12.3471,0,0.369347,0.184158,-1.06413,1,8.89766e-14,9.95298e-17,8.7752e-14
